IUCN Category,Species,Country,Unit,PowerCode,Value
Number of vulnerable indigenous species,Birds,Lithuania,Number,Units,20
Number of vulnerable indigenous species,Reptiles,Lithuania,Number,Units,1
Number of vulnerable indigenous species,Amphibians,Lithuania,Number,Units,1
Number of vulnerable indigenous species,Vascular plants,Lithuania,Number,Units,41
Number of vulnerable indigenous species,Fish,Lithuania,Number,Units,2
Number of vulnerable indigenous species,Marine Fish,Lithuania,Number,Units,0
Number of vulnerable indigenous species,Freshwater Fish,Lithuania,Number,Units,2
Number of vulnerable indigenous species,Mosses,Lithuania,Number,Units,26
Number of vulnerable indigenous species,Lichens,Lithuania,Number,Units,3
Number of vulnerable indigenous species,Invertebrates,Lithuania,Number,Units,22
Total number of indigenous threatened species,Mammals,Lithuania,Number,Units,7
Total number of indigenous threatened species,Birds,Lithuania,Number,Units,56
Total number of indigenous threatened species,Reptiles,Lithuania,Number,Units,2
Total number of indigenous threatened species,Amphibians,Lithuania,Number,Units,2
Total number of indigenous threatened species,Vascular plants,Lithuania,Number,Units,130
Total number of indigenous threatened species,Fish,Lithuania,Number,Units,5
Total number of indigenous threatened species,Marine Fish,Lithuania,Number,Units,1
Total number of indigenous threatened species,Freshwater Fish,Lithuania,Number,Units,4
Total number of indigenous threatened species,Mosses,Lithuania,Number,Units,48
Total number of indigenous threatened species,Lichens,Lithuania,Number,Units,43
Total number of indigenous threatened species,Invertebrates,Lithuania,Number,Units,89
Threatened species as % of known species,Mammals,Lithuania,Percentage,Units,10.294
Threatened species as % of known species,Birds,Lithuania,Percentage,Units,14.396
Threatened species as % of known species,Reptiles,Lithuania,Percentage,Units,28.571
Threatened species as % of known species,Vascular plants,Lithuania,Percentage,Units,9.745
Threatened species as % of known species,Fish,Lithuania,Percentage,Units,4.762
Threatened species as % of known species,Marine Fish,Lithuania,Percentage,Units,1.961
Threatened species as % of known species,Mosses,Lithuania,Percentage,Units,10.213
Threatened species as % of known species,Lichens,Lithuania,Percentage,Units,17.2
Threatened species as % of known species,Invertebrates,Lithuania,Percentage,Units,0.356
Threatened indigenous species as % of indigenous spec.,Mammals,Lithuania,Percentage,Units,11.864
Threatened indigenous species as % of indigenous spec.,Birds,Lithuania,Percentage,Units,15.217
Threatened indigenous species as % of indigenous spec.,Reptiles,Lithuania,Percentage,Units,28.571
Threatened indigenous species as % of indigenous spec.,Vascular plants,Lithuania,Percentage,Units,16.539
Threatened indigenous species as % of indigenous spec.,Fish,Lithuania,Percentage,Units,5.882
Threatened indigenous species as % of indigenous spec.,Marine Fish,Lithuania,Percentage,Units,2.041
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Lithuania,Percentage,Units,11.111
Number of endangered indigenous species,Mammals,Australia,Number,Units,37
Number of endangered indigenous species,Amphibians,Australia,Number,Units,14
Number of endangered indigenous species,Vascular plants,Australia,Number,Units,527
Number of endangered indigenous species,Fish,Australia,Number,Units,16
Number of endangered indigenous species,Marine Fish,Australia,Number,Units,2
Number of endangered indigenous species,Freshwater Fish,Australia,Number,Units,14
Number of endangered indigenous species,Invertebrates,Australia,Number,Units,22
Number of critically endangered indigenous species,Mammals,Australia,Number,Units,5
Number of critically endangered indigenous species,Amphibians,Australia,Number,Units,5
Number of critically endangered indigenous species,Vascular plants,Australia,Number,Units,148
Number of critically endangered indigenous species,Fish,Australia,Number,Units,8
Number of critically endangered indigenous species,Marine Fish,Australia,Number,Units,3
Number of critically endangered indigenous species,Freshwater Fish,Australia,Number,Units,5
Number of critically endangered indigenous species,Invertebrates,Australia,Number,Units,28
Number of vulnerable indigenous species,Mammals,Australia,Number,Units,67
Number of vulnerable indigenous species,Amphibians,Australia,Number,Units,10
Number of vulnerable indigenous species,Vascular plants,Australia,Number,Units,587
Number of vulnerable indigenous species,Fish,Australia,Number,Units,24
Number of vulnerable indigenous species,Marine Fish,Australia,Number,Units,8
Number of vulnerable indigenous species,Freshwater Fish,Australia,Number,Units,16
Number of vulnerable indigenous species,Mosses,Australia,Number,Units,1
Number of vulnerable indigenous species,Invertebrates,Australia,Number,Units,11
Total number of indigenous threatened species,Mammals,Australia,Number,Units,109
Total number of indigenous threatened species,Birds,Australia,Number,Units,133
Total number of indigenous threatened species,Reptiles,Australia,Number,Units,61
Total number of indigenous threatened species,Amphibians,Australia,Number,Units,29
Total number of indigenous threatened species,Vascular plants,Australia,Number,Units,1262
Total number of indigenous threatened species,Fish,Australia,Number,Units,48
Total number of indigenous threatened species,Marine Fish,Australia,Number,Units,13
Total number of indigenous threatened species,Freshwater Fish,Australia,Number,Units,35
Total number of indigenous threatened species,Mosses,Australia,Number,Units,1
Total number of indigenous threatened species,Invertebrates,Australia,Number,Units,61
Threatened indigenous species as % of indigenous spec.,Vascular plants,Australia,Percentage,Units,7.057
Total number of known species,Mosses,Austria,Number,Units,1016
Total number of known species,Lichens,Austria,Number,Units,2100
Total number of known species,Invertebrates,Austria,Number,Units,45244
Total number of indigenous known species,Mosses,Austria,Number,Units,1016
Total number of indigenous known species,Lichens,Austria,Number,Units,2100
Total number of indigenous known species,Invertebrates,Austria,Number,Units,45244
Number of endangered species,Mosses,Austria,Number,Units,69
Number of endangered species,Lichens,Austria,Number,Units,135
Number of endangered species,Invertebrates,Austria,Number,Units,310
Number of critically endangered species,Mosses,Austria,Number,Units,34
Number of critically endangered species,Lichens,Austria,Number,Units,57
Number of critically endangered species,Invertebrates,Austria,Number,Units,302
Number of vulnerable species,Mosses,Austria,Number,Units,135
Number of vulnerable species,Lichens,Austria,Number,Units,251
Number of vulnerable species,Invertebrates,Austria,Number,Units,356
Total number of threatened species,Mosses,Austria,Number,Units,238
Total number of threatened species,Lichens,Austria,Number,Units,443
Total number of threatened species,Invertebrates,Austria,Number,Units,968
Number of endangered indigenous species,Mosses,Austria,Number,Units,69
Number of endangered indigenous species,Lichens,Austria,Number,Units,135
Number of endangered indigenous species,Invertebrates,Austria,Number,Units,310
Number of critically endangered indigenous species,Mosses,Austria,Number,Units,34
Number of critically endangered indigenous species,Lichens,Austria,Number,Units,57
Number of critically endangered indigenous species,Invertebrates,Austria,Number,Units,302
